policy_id,occupation,age,coverage_amount,premium,policy_type,issue_date,risk_rating,medical_exam_required
PP-1716,Pharmacist,49,2000000,3966,Whole Life,2019-12-26,High,Yes
PP-1717,Researcher,64,750000,418,Universal Life,2023-06-07,Low,Yes
PP-1718,Writer,47,25000,24,Term Life,2021-04-04,Medium,No
PP-1719,Service Worker,54,25000,25,Whole Life,2021-02-21,Medium,No
PP-1720,Dancer,77,100000,122,Term Life,2022-01-06,Medium,No
PP-1721,Actor,20,2000000,750,Whole Life,2019-10-15,Low,Yes
PP-1722,Truck Driver,71,15000000,8812,Whole Life,2022-11-11,Low,Yes
PP-1723,Scientist,24,1000000,1566,Whole Life,2022-08-09,High,Yes
PP-1724,Chemist,20,500000,187,Whole Life,2020-04-14,Low,Yes
PP-1725,Dentist,58,5000000,10666,Term Life,2019-03-07,High,Yes
PP-1726,Nurse,35,1000000,437,Universal Life,2022-02-27,Low,Yes
PP-1727,Skilled Laborer,73,100000,59,Whole Life,2019-01-10,Low,No
PP-1728,Bus Driver,55,15000000,15625,Universal Life,2021-08-06,Medium,Yes
PP-1729,Dancer,39,1000000,1816,Whole Life,2024-10-01,High,Yes
PP-1730,Factory Worker,79,750000,931,Whole Life,2024-07-21,Medium,Yes
PP-1731,Chemist,79,25000,15,Universal Life,2020-03-30,Low,No
PP-1732,Teacher,61,2000000,4366,Term Life,2021-12-27,High,Yes
PP-1733,Manager,38,500000,225,Term Life,2024-12-28,Low,Yes
PP-1734,Student,78,2000000,4933,Term Life,2023-02-21,High,Yes
PP-1735,Teacher,64,100000,111,Whole Life,2020-07-01,Medium,No
PP-1736,Teacher,78,500000,308,Universal Life,2021-09-21,Low,Yes
PP-1737,Scientist,40,750000,687,Term Life,2019-03-12,Medium,Yes
PP-1738,Commercial Pilot,65,15000000,33750,Whole Life,2019-09-29,High,Yes
PP-1739,Skilled Laborer,31,500000,841,Term Life,2023-09-30,High,Yes
PP-1740,Teacher,44,25000,23,Term Life,2018-07-28,Medium,No
PP-1741,Actor,70,100000,233,Universal Life,2021-07-26,High,No
PP-1742,Chemist,49,500000,495,Term Life,2019-06-04,Medium,Yes
PP-1743,Healthcare Worker,24,50000,78,Term Life,2023-11-22,High,No
PP-1744,Journalist,20,1000000,375,Universal Life,2022-02-03,Low,Yes
PP-1745,Chef,39,250000,113,Term Life,2023-11-01,Low,No
PP-1746,Architect,28,10000000,4083,Whole Life,2022-03-21,Low,Yes
PP-1747,Teacher,52,250000,127,Universal Life,2019-02-02,Low,No
PP-1748,Truck Driver,53,1000000,1025,Term Life,2021-10-28,Medium,Yes
PP-1749,Chef,26,100000,40,Universal Life,2023-05-29,Low,No
PP-1750,Professional Athlete,61,250000,136,Term Life,2022-07-07,Low,No
PP-1751,Researcher,78,750000,462,Universal Life,2023-04-10,Low,Yes
PP-1752,Skilled Laborer,55,500000,260,Whole Life,2021-09-23,Low,Yes
PP-1753,High-Risk Driver,18,750000,550,Whole Life,2018-10-06,Medium,Yes
PP-1754,Writer,19,1000000,370,Term Life,2022-12-24,Low,Yes
PP-1755,Photographer,21,10000000,3791,Universal Life,2019-07-27,Low,Yes
PP-1756,Chemist,23,10000000,7750,Whole Life,2018-05-23,Medium,Yes
PP-1757,Writer,58,15000000,16000,Term Life,2022-04-02,Medium,Yes
PP-1758,Bus Driver,35,10000000,4375,Whole Life,2024-01-07,Low,Yes
PP-1759,Service Worker,71,100000,117,Universal Life,2024-12-24,Medium,No
PP-1760,Mechanical Engineer,28,750000,1225,Term Life,2022-11-21,High,Yes
PP-1761,Student,21,1000000,379,Universal Life,2018-07-20,Low,Yes
PP-1762,Attorney,21,250000,189,Term Life,2019-03-22,Medium,No
PP-1763,Biologist,53,5000000,10250,Term Life,2020-01-20,High,Yes
PP-1764,Plumber,21,10000000,3791,Universal Life,2019-10-31,Low,Yes
PP-1765,Manager,40,1000000,1833,Universal Life,2022-03-31,High,Yes
PP-1766,Truck Driver,69,2000000,1158,Universal Life,2023-11-01,Low,Yes
PP-1767,Software Engineer,76,15000000,9125,Universal Life,2020-03-08,Low,Yes
PP-1768,Chef,78,250000,154,Term Life,2022-10-24,Low,No
PP-1769,Researcher,48,1000000,491,Universal Life,2022-03-28,Low,Yes
PP-1770,Police Officer,50,2000000,4000,Term Life,2020-03-14,High,Yes
PP-1771,Musician,25,100000,79,Whole Life,2018-11-28,Medium,No
PP-1772,Miner,41,5000000,2312,Universal Life,2023-04-09,Low,Yes
PP-1773,Journalist,64,10000000,22333,Whole Life,2022-05-31,High,Yes
PP-1774,Writer,56,5000000,5250,Term Life,2019-05-16,Medium,Yes
PP-1775,Dentist,18,50000,18,Whole Life,2023-03-25,Low,No
PP-1776,Scientist,55,2000000,2083,Universal Life,2022-01-20,Medium,Yes
PP-1777,Therapist,46,2000000,1933,Term Life,2018-11-05,Medium,Yes
PP-1778,Graphic Designer,18,250000,91,Term Life,2020-02-02,Low,No
PP-1779,Taxi Driver,21,500000,758,Whole Life,2022-10-11,High,Yes
PP-1780,Researcher,56,10000000,10500,Whole Life,2021-03-23,Medium,Yes
PP-1781,Chemist,21,10000000,7583,Term Life,2018-10-27,Medium,Yes
PP-1782,Professional Athlete,70,2000000,4666,Whole Life,2024-01-05,High,Yes
PP-1783,Journalist,51,15000000,30250,Universal Life,2021-04-22,High,Yes
PP-1784,Attorney,74,1000000,1200,Universal Life,2019-01-30,Medium,Yes
PP-1785,Healthcare Worker,66,750000,849,Universal Life,2018-01-18,Medium,Yes
PP-1786,Graphic Designer,67,1000000,1141,Universal Life,2020-12-23,Medium,Yes
PP-1787,Service Worker,70,500000,583,Universal Life,2023-11-19,Medium,Yes
PP-1788,Police Officer,54,250000,258,Whole Life,2024-12-09,Medium,No
PP-1789,Chemist,43,10000000,9416,Universal Life,2021-06-10,Medium,Yes
PP-1790,Physicist,18,2000000,1466,Whole Life,2020-05-29,Medium,Yes
PP-1791,Biologist,30,25000,10,Term Life,2018-12-03,Low,No
PP-1792,Police Officer,40,500000,458,Universal Life,2022-07-08,Medium,Yes
PP-1793,Air Traffic Controller,40,750000,1375,Universal Life,2024-06-26,High,Yes
PP-1794,Surgeon,45,5000000,4791,Whole Life,2020-10-21,Medium,Yes
PP-1795,Military Officer,45,25000,47,Whole Life,2024-04-06,High,No
PP-1796,Chemist,38,15000000,13500,Whole Life,2018-03-31,Medium,Yes
PP-1797,Pilot,35,25000,43,Term Life,2018-05-06,High,No
PP-1798,Architect,80,250000,625,Universal Life,2024-09-18,High,No
PP-1799,Miner,77,15000000,9187,Universal Life,2021-03-22,Low,Yes
PP-1800,Military Officer,71,500000,587,Term Life,2020-11-16,Medium,Yes
PP-1801,Musician,60,100000,54,Term Life,2018-08-29,Low,No
PP-1802,Miner,27,250000,404,Universal Life,2022-02-17,High,No
PP-1803,Graphic Designer,67,15000000,17125,Universal Life,2023-07-24,Medium,Yes
PP-1804,Factory Worker,33,2000000,3433,Term Life,2024-04-29,High,Yes
PP-1805,Healthcare Worker,46,250000,241,Term Life,2024-04-11,Medium,No
PP-1806,Dentist,26,10000000,4000,Universal Life,2022-07-14,Low,Yes
PP-1807,Skilled Laborer,53,25000,51,Whole Life,2024-07-21,High,No
PP-1808,Skilled Laborer,65,50000,56,Term Life,2019-04-25,Medium,No
PP-1809,Veterinarian,49,250000,123,Whole Life,2019-05-04,Low,No
PP-1810,Journalist,54,50000,103,Term Life,2018-08-10,High,No
PP-1811,Commercial Pilot,45,5000000,4791,Term Life,2018-03-16,Medium,Yes
PP-1812,Air Traffic Controller,31,15000000,6312,Whole Life,2020-10-03,Low,Yes
PP-1813,Photographer,27,2000000,1616,Universal Life,2022-04-18,Medium,Yes
PP-1814,Actor,44,25000,47,Term Life,2024-10-06,High,No
PP-1815,Scientist,28,1000000,816,Whole Life,2022-03-28,Medium,Yes
PP-1816,Accountant,49,25000,49,Term Life,2023-12-21,High,No
PP-1817,Teacher,68,50000,28,Whole Life,2023-05-19,Low,No
PP-1818,Electrician,60,2000000,1083,Whole Life,2022-07-18,Low,Yes
PP-1819,Architect,43,25000,47,Universal Life,2022-09-15,High,No
PP-1820,Nurse,48,15000000,14750,Whole Life,2024-10-31,Medium,Yes
PP-1821,Factory Worker,43,250000,470,Whole Life,2024-11-09,High,No
PP-1822,Skilled Laborer,67,5000000,2854,Whole Life,2024-02-15,Low,Yes
PP-1823,Factory Worker,28,250000,408,Term Life,2020-08-01,High,No
PP-1824,Chemist,27,25000,20,Whole Life,2022-10-03,Medium,No
PP-1825,Scientist,36,250000,441,Universal Life,2023-08-02,High,No
PP-1826,Veterinarian,70,250000,583,Term Life,2022-09-06,High,No
PP-1827,Software Engineer,64,15000000,16750,Universal Life,2018-12-16,Medium,Yes
PP-1828,Chemist,25,500000,791,Whole Life,2021-01-13,High,Yes
PP-1829,Civil Engineer,36,5000000,2208,Term Life,2023-07-03,Low,Yes
PP-1830,Dancer,59,10000000,21500,Universal Life,2022-10-01,High,Yes
PP-1831,Dancer,47,25000,12,Universal Life,2019-08-07,Low,No
PP-1832,Journalist,58,1000000,1066,Universal Life,2019-06-28,Medium,Yes
PP-1833,Firefighter,80,10000000,12500,Universal Life,2020-09-23,Medium,Yes
PP-1834,Military Officer,42,10000000,4666,Universal Life,2023-02-03,Low,Yes
PP-1835,Teacher,46,100000,96,Universal Life,2024-08-18,Medium,No
PP-1836,Commercial Pilot,28,5000000,8166,Universal Life,2022-01-02,High,Yes
PP-1837,Physicist,39,10000000,18166,Universal Life,2024-02-01,High,Yes
PP-1838,Commercial Pilot,59,1000000,537,Whole Life,2020-12-21,Low,Yes
PP-1839,Software Engineer,75,5000000,3020,Whole Life,2019-04-04,Low,Yes
PP-1840,High-Risk Driver,78,750000,462,Term Life,2019-07-03,Low,Yes
PP-1841,Artist,42,750000,700,Term Life,2020-08-04,Medium,Yes
PP-1842,Graphic Designer,64,100000,55,Universal Life,2018-04-09,Low,No
PP-1843,Military Officer,61,5000000,2729,Term Life,2022-01-03,Low,Yes
PP-1844,Writer,40,500000,458,Term Life,2024-09-19,Medium,Yes
PP-1845,Truck Driver,46,10000000,9666,Term Life,2022-03-27,Medium,Yes
PP-1846,Scientist,57,5000000,2645,Whole Life,2020-07-15,Low,Yes
PP-1847,Veterinarian,34,25000,43,Universal Life,2019-06-11,High,No
PP-1848,Service Worker,76,750000,456,Universal Life,2020-03-07,Low,Yes
PP-1849,Pilot,74,10000000,12000,Whole Life,2020-12-26,Medium,Yes
PP-1850,Journalist,69,100000,57,Universal Life,2024-08-01,Low,No
PP-1851,Construction Worker,47,5000000,2437,Term Life,2023-08-29,Low,Yes
PP-1852,Mechanical Engineer,23,2000000,775,Universal Life,2021-01-11,Low,Yes
PP-1853,Electrician,22,1000000,383,Universal Life,2024-07-26,Low,Yes
PP-1854,Bus Driver,76,500000,608,Term Life,2021-01-29,Medium,Yes
PP-1855,Plumber,19,100000,148,Whole Life,2024-07-02,High,No
PP-1856,Commercial Pilot,35,50000,21,Term Life,2023-08-15,Low,No
PP-1857,Miner,47,500000,487,Universal Life,2022-09-02,Medium,Yes
PP-1858,Taxi Driver,32,250000,425,Term Life,2020-12-08,High,No
PP-1859,Photographer,37,2000000,3566,Universal Life,2022-08-28,High,Yes
PP-1860,Teacher,69,2000000,2316,Whole Life,2019-08-18,Medium,Yes
PP-1861,High-Risk Driver,22,250000,95,Whole Life,2023-05-01,Low,No
PP-1862,Military Officer,36,500000,220,Term Life,2023-11-24,Low,Yes
PP-1863,Factory Worker,45,15000000,14375,Whole Life,2023-12-25,Medium,Yes
PP-1864,Retired,26,50000,20,Universal Life,2024-04-13,Low,No
PP-1865,Miner,55,500000,260,Term Life,2019-12-07,Low,Yes
PP-1866,Teacher,59,1000000,537,Whole Life,2018-05-10,Low,Yes
PP-1867,Actor,30,15000000,6250,Universal Life,2019-02-18,Low,Yes
PP-1868,Manager,32,15000000,6375,Term Life,2024-08-25,Low,Yes
PP-1869,Retired,20,2000000,750,Term Life,2024-01-24,Low,Yes
PP-1870,Plumber,56,250000,262,Whole Life,2021-12-18,Medium,No
PP-1871,Pilot,56,750000,787,Term Life,2022-09-19,Medium,Yes
PP-1872,Researcher,79,5000000,6208,Term Life,2024-08-28,Medium,Yes
PP-1873,Software Engineer,52,250000,508,Whole Life,2018-07-29,High,No
PP-1874,Civil Engineer,47,100000,97,Term Life,2018-02-25,Medium,No
PP-1875,Accountant,54,500000,1033,Whole Life,2018-02-12,High,Yes
PP-1876,Chemist,73,750000,1787,Term Life,2022-04-06,High,Yes
PP-1877,Civil Engineer,36,250000,220,Term Life,2019-12-07,Medium,No
PP-1878,Veterinarian,36,100000,176,Term Life,2023-11-01,High,No
PP-1879,Architect,48,750000,1475,Universal Life,2023-08-06,High,Yes
PP-1880,Taxi Driver,72,750000,443,Whole Life,2023-06-19,Low,Yes
PP-1881,Researcher,19,500000,370,Universal Life,2024-03-19,Medium,Yes
PP-1882,Accountant,59,50000,107,Universal Life,2022-01-15,High,No
PP-1883,Pharmacist,23,10000000,7750,Term Life,2018-11-05,Medium,Yes
PP-1884,Retired,37,2000000,1783,Whole Life,2019-05-22,Medium,Yes
PP-1885,Chef,27,500000,202,Universal Life,2024-12-18,Low,Yes
PP-1886,Air Traffic Controller,41,50000,46,Whole Life,2019-04-03,Medium,No
PP-1887,Chef,49,10000000,4958,Whole Life,2019-05-22,Low,Yes
PP-1888,Musician,78,25000,15,Whole Life,2020-10-14,Low,No
PP-1889,Professional Athlete,54,5000000,2583,Whole Life,2023-02-19,Low,Yes
PP-1890,Surgeon,63,50000,55,Universal Life,2022-04-05,Medium,No
PP-1891,Plumber,74,100000,120,Term Life,2022-05-03,Medium,No
PP-1892,Veterinarian,58,500000,533,Whole Life,2023-12-02,Medium,Yes
PP-1893,Bus Driver,71,5000000,11750,Whole Life,2020-06-25,High,Yes
PP-1894,High-Risk Driver,60,100000,54,Whole Life,2024-09-05,Low,No
PP-1895,Nurse,80,10000000,25000,Universal Life,2023-11-30,High,Yes
PP-1896,Therapist,77,5000000,3062,Term Life,2018-04-03,Low,Yes
PP-1897,Surgeon,40,25000,45,Universal Life,2019-11-10,High,No
PP-1898,Police Officer,57,5000000,5291,Term Life,2019-08-13,Medium,Yes
PP-1899,Construction Worker,74,50000,60,Term Life,2024-11-12,Medium,No
PP-1900,Skilled Laborer,18,5000000,1833,Term Life,2018-01-01,Low,Yes
PP-1901,Software Engineer,60,10000000,21666,Term Life,2018-07-04,High,Yes
PP-1902,Surgeon,62,500000,550,Term Life,2022-11-21,Medium,Yes
PP-1903,Therapist,57,500000,264,Whole Life,2024-04-07,Low,Yes
PP-1904,Photographer,53,750000,768,Term Life,2024-05-27,Medium,Yes
PP-1905,Accountant,38,750000,337,Term Life,2020-08-04,Low,Yes
PP-1906,Veterinarian,57,5000000,2645,Universal Life,2020-11-25,Low,Yes
PP-1907,Retired,48,250000,122,Universal Life,2023-09-29,Low,No
PP-1908,Manager,20,250000,187,Term Life,2019-10-31,Medium,No
PP-1909,Graphic Designer,60,2000000,2166,Universal Life,2020-11-12,Medium,Yes
PP-1910,Architect,51,250000,126,Universal Life,2018-03-18,Low,No
PP-1911,Bus Driver,31,50000,42,Whole Life,2024-05-24,Medium,No
PP-1912,Architect,59,250000,537,Term Life,2023-08-12,High,No
PP-1913,Civil Engineer,30,15000000,25000,Universal Life,2020-03-15,High,Yes
PP-1914,Skilled Laborer,41,10000000,18500,Whole Life,2022-07-27,High,Yes
PP-1915,Professional Athlete,22,1000000,1533,Term Life,2018-03-10,High,Yes
PP-1916,Plumber,51,15000000,7562,Term Life,2024-01-10,Low,Yes
PP-1917,Nurse,24,25000,9,Term Life,2024-12-10,Low,No
PP-1918,Plumber,28,500000,816,Universal Life,2024-03-01,High,Yes
PP-1919,Civil Engineer,26,250000,400,Universal Life,2023-04-17,High,No
PP-1920,Software Engineer,41,1000000,462,Whole Life,2021-11-04,Low,Yes
PP-1921,Commercial Pilot,60,1000000,541,Universal Life,2019-01-19,Low,Yes
PP-1922,Commercial Pilot,44,1000000,1900,Universal Life,2021-01-25,High,Yes
PP-1923,High-Risk Driver,24,750000,587,Whole Life,2021-06-26,Medium,Yes
PP-1924,Chemical Plant Operator,67,500000,570,Whole Life,2021-01-25,Medium,Yes
PP-1925,Actor,32,15000000,6375,Whole Life,2024-05-24,Low,Yes
PP-1926,Chemist,33,500000,429,Term Life,2020-03-21,Medium,Yes
PP-1927,Retired,68,10000000,5750,Term Life,2022-07-27,Low,Yes
PP-1928,Teacher,79,2000000,2483,Term Life,2022-03-03,Medium,Yes
PP-1929,Healthcare Worker,21,5000000,3791,Whole Life,2024-02-01,Medium,Yes
PP-1930,Dancer,45,25000,47,Term Life,2021-04-21,High,No
PP-1931,Military Officer,45,500000,958,Term Life,2023-09-22,High,Yes
PP-1932,Actor,77,100000,122,Term Life,2024-12-04,Medium,No
PP-1933,Firefighter,69,750000,434,Universal Life,2024-01-22,Low,Yes
PP-1934,Healthcare Worker,34,15000000,13000,Universal Life,2021-05-13,Medium,Yes
PP-1935,Professional Athlete,47,5000000,4875,Universal Life,2019-10-19,Medium,Yes
PP-1936,Dentist,68,25000,14,Universal Life,2024-04-03,Low,No
PP-1937,Dentist,42,25000,11,Whole Life,2019-08-12,Low,No
PP-1938,Firefighter,71,100000,117,Term Life,2020-11-24,Medium,No
PP-1939,Musician,70,500000,291,Whole Life,2021-08-29,Low,Yes
PP-1940,Air Traffic Controller,25,100000,79,Whole Life,2020-08-06,Medium,No
PP-1941,Pilot,20,2000000,1500,Universal Life,2021-12-01,Medium,Yes
PP-1942,Nurse,54,1000000,516,Term Life,2022-10-14,Low,Yes
PP-1943,Police Officer,22,750000,287,Term Life,2022-10-04,Low,Yes
PP-1944,Miner,29,1000000,412,Universal Life,2022-01-16,Low,Yes
PP-1945,Biologist,76,15000000,36500,Whole Life,2021-03-04,High,Yes
PP-1946,Architect,54,500000,516,Whole Life,2023-01-03,Medium,Yes
PP-1947,Researcher,72,25000,14,Whole Life,2022-12-22,Low,No
PP-1948,Accountant,22,10000000,3833,Universal Life,2019-12-21,Low,Yes
PP-1949,Therapist,75,10000000,6041,Whole Life,2022-03-03,Low,Yes
PP-1950,Mechanical Engineer,25,500000,791,Term Life,2024-07-04,High,Yes
PP-1951,Nurse,66,5000000,2833,Universal Life,2023-08-10,Low,Yes
PP-1952,Miner,50,500000,1000,Universal Life,2020-08-19,High,Yes
PP-1953,Air Traffic Controller,70,5000000,11666,Term Life,2023-06-30,High,Yes
PP-1954,Dancer,18,10000000,7333,Whole Life,2019-11-26,Medium,Yes
PP-1955,Factory Worker,71,500000,293,Universal Life,2021-05-14,Low,Yes
PP-1956,Pilot,78,50000,30,Term Life,2021-05-26,Low,No
PP-1957,Software Engineer,78,750000,925,Universal Life,2023-03-19,Medium,Yes
PP-1958,Nurse,34,1000000,866,Universal Life,2018-06-08,Medium,Yes
PP-1959,Construction Worker,80,10000000,6250,Universal Life,2023-07-25,Low,Yes
PP-1960,Attorney,33,2000000,1716,Term Life,2024-09-26,Medium,Yes
PP-1961,Construction Worker,69,500000,579,Universal Life,2022-10-04,Medium,Yes
PP-1962,High-Risk Driver,74,100000,60,Universal Life,2021-05-23,Low,No
PP-1963,Accountant,45,250000,479,Whole Life,2023-02-13,High,No
PP-1964,Therapist,65,5000000,2812,Term Life,2018-02-16,Low,Yes
PP-1965,Electrician,44,1000000,1900,Term Life,2023-12-21,High,Yes
PP-1966,Therapist,30,10000000,4166,Term Life,2018-04-24,Low,Yes
PP-1967,Miner,22,10000000,3833,Whole Life,2021-08-13,Low,Yes
PP-1968,Manager,77,750000,1837,Universal Life,2019-02-04,High,Yes
PP-1969,Physicist,49,750000,743,Universal Life,2018-09-20,Medium,Yes
PP-1970,Military Officer,57,1000000,1058,Term Life,2020-01-05,Medium,Yes
PP-1971,Chef,24,10000000,7833,Term Life,2024-01-27,Medium,Yes
PP-1972,Graphic Designer,68,50000,28,Universal Life,2022-03-25,Low,No
PP-1973,Photographer,18,10000000,3666,Universal Life,2023-09-24,Low,Yes
PP-1974,Truck Driver,71,750000,440,Universal Life,2021-03-09,Low,Yes
PP-1975,Artist,27,500000,808,Universal Life,2023-08-22,High,Yes
PP-1976,Truck Driver,36,500000,220,Universal Life,2024-07-08,Low,Yes
PP-1977,Retired,29,15000000,6187,Universal Life,2018-05-09,Low,Yes
PP-1978,Physicist,44,500000,237,Universal Life,2023-03-25,Low,Yes
PP-1979,Software Engineer,18,50000,18,Term Life,2020-03-18,Low,No
PP-1980,Manager,27,250000,101,Term Life,2024-07-06,Low,No
PP-1981,Scientist,68,750000,1725,Universal Life,2019-02-21,High,Yes
PP-1982,Manager,78,250000,154,Universal Life,2019-09-08,Low,No
PP-1983,Software Engineer,77,750000,459,Term Life,2019-04-02,Low,Yes
PP-1984,High-Risk Driver,30,10000000,16666,Whole Life,2019-07-13,High,Yes
PP-1985,Physicist,33,250000,214,Universal Life,2023-10-06,Medium,No
PP-1986,Therapist,19,50000,18,Universal Life,2020-05-03,Low,No
PP-1987,Chemical Plant Operator,67,250000,142,Term Life,2018-03-04,Low,No
PP-1988,Attorney,32,500000,425,Universal Life,2018-07-21,Medium,Yes
PP-1989,Miner,27,25000,40,Universal Life,2021-05-09,High,No
PP-1990,Pharmacist,51,5000000,2520,Term Life,2018-08-14,Low,Yes
PP-1991,Artist,72,5000000,11833,Term Life,2020-12-19,High,Yes
PP-1992,Writer,57,15000000,31750,Term Life,2018-02-12,High,Yes
PP-1993,Professional Athlete,34,25000,43,Whole Life,2018-06-20,High,No
PP-1994,Retired,70,250000,291,Universal Life,2022-06-27,Medium,No
PP-1995,Civil Engineer,69,25000,57,Whole Life,2022-10-24,High,No
PP-1996,Pharmacist,51,15000000,7562,Whole Life,2020-11-12,Low,Yes
PP-1997,Dentist,36,100000,88,Term Life,2023-09-28,Medium,No
PP-1998,Student,20,750000,281,Whole Life,2023-04-18,Low,Yes
PP-1999,Healthcare Worker,61,750000,1637,Universal Life,2019-04-21,High,Yes
PP-2000,Attorney,55,25000,13,Term Life,2018-06-22,Low,No
PP-2001,Biologist,67,250000,570,Term Life,2019-03-23,High,No
PP-2002,Chemist,22,500000,191,Term Life,2023-01-06,Low,Yes
PP-2003,Healthcare Worker,75,10000000,12083,Universal Life,2023-02-25,Medium,Yes
PP-2004,Factory Worker,66,1000000,566,Term Life,2019-07-19,Low,Yes
PP-2005,Air Traffic Controller,38,250000,225,Universal Life,2024-04-01,Medium,No
PP-2006,Construction Worker,78,10000000,12333,Universal Life,2021-01-21,Medium,Yes
PP-2007,Factory Worker,80,50000,31,Term Life,2024-04-28,Low,No
PP-2008,Air Traffic Controller,28,750000,612,Whole Life,2023-11-08,Medium,Yes
PP-2009,Physicist,33,100000,42,Whole Life,2021-12-20,Low,No
PP-2010,Firefighter,54,10000000,5166,Whole Life,2022-06-07,Low,Yes
PP-2011,Surgeon,33,2000000,1716,Whole Life,2018-05-28,Medium,Yes
PP-2012,Taxi Driver,64,1000000,558,Universal Life,2018-04-07,Low,Yes
PP-2013,Scientist,20,750000,1125,Universal Life,2024-02-02,High,Yes
PP-2014,Dancer,63,10000000,5541,Universal Life,2021-05-21,Low,Yes
PP-2015,Pilot,56,15000000,31500,Term Life,2024-12-30,High,Yes
PP-2016,Pilot,34,2000000,3466,Term Life,2023-04-29,High,Yes
PP-2017,Musician,59,5000000,5375,Universal Life,2022-05-10,Medium,Yes
PP-2018,Software Engineer,32,250000,212,Term Life,2023-08-25,Medium,No
PP-2019,Skilled Laborer,39,15000000,6812,Term Life,2018-09-28,Low,Yes
PP-2020,Bus Driver,35,250000,109,Whole Life,2018-02-16,Low,No
PP-2021,Artist,36,15000000,26500,Whole Life,2022-11-08,High,Yes
PP-2022,Scientist,22,500000,383,Whole Life,2019-04-24,Medium,Yes
PP-2023,Teacher,51,25000,12,Whole Life,2021-04-23,Low,No
PP-2024,Pilot,55,25000,26,Term Life,2022-12-02,Medium,No
PP-2025,Police Officer,26,50000,80,Whole Life,2023-08-28,High,No
PP-2026,Air Traffic Controller,49,250000,123,Whole Life,2021-10-08,Low,No
PP-2027,Manager,45,15000000,28750,Whole Life,2018-08-07,High,Yes
PP-2028,Chemical Plant Operator,74,500000,300,Whole Life,2019-12-28,Low,Yes
PP-2029,Chemical Plant Operator,69,1000000,579,Universal Life,2019-07-19,Low,Yes
PP-2030,Pharmacist,52,10000000,5083,Universal Life,2019-03-02,Low,Yes
PP-2031,Researcher,41,5000000,4625,Universal Life,2022-03-10,Medium,Yes
PP-2032,Graphic Designer,58,10000000,21333,Term Life,2024-03-26,High,Yes
PP-2033,Electrician,20,10000000,3750,Universal Life,2024-10-13,Low,Yes
PP-2034,Journalist,27,25000,10,Whole Life,2024-04-22,Low,No
PP-2035,Artist,51,500000,252,Term Life,2022-05-18,Low,Yes
PP-2036,Musician,61,25000,27,Universal Life,2023-11-17,Medium,No
PP-2037,Accountant,79,10000000,12416,Term Life,2018-04-30,Medium,Yes
PP-2038,Artist,58,50000,106,Whole Life,2024-09-01,High,No
PP-2039,Taxi Driver,74,250000,300,Term Life,2022-03-07,Medium,No
PP-2040,Graphic Designer,63,5000000,11083,Whole Life,2022-12-12,High,Yes
PP-2041,Firefighter,63,25000,27,Term Life,2024-11-14,Medium,No
PP-2042,Pilot,18,2000000,1466,Universal Life,2021-02-09,Medium,Yes
PP-2043,Musician,79,2000000,1241,Term Life,2023-12-09,Low,Yes
PP-2044,Skilled Laborer,32,1000000,1700,Term Life,2023-05-25,High,Yes
PP-2045,Dancer,44,100000,190,Universal Life,2020-05-03,High,No
PP-2046,Professional Athlete,25,2000000,791,Universal Life,2024-01-19,Low,Yes
PP-2047,Dancer,52,15000000,7625,Term Life,2020-04-24,Low,Yes
PP-2048,Dancer,29,100000,82,Term Life,2018-11-29,Medium,No
PP-2049,Chemical Plant Operator,23,750000,581,Term Life,2023-03-28,Medium,Yes
PP-2050,Police Officer,64,500000,558,Term Life,2024-01-04,Medium,Yes
PP-2051,Accountant,76,250000,152,Universal Life,2019-03-03,Low,No
PP-2052,Physicist,47,15000000,7312,Term Life,2020-06-25,Low,Yes
PP-2053,Professional Athlete,74,250000,150,Universal Life,2018-02-02,Low,No
PP-2054,Electrician,52,1000000,2033,Term Life,2019-12-10,High,Yes
PP-2055,Nurse,48,10000000,4916,Term Life,2022-07-29,Low,Yes
PP-2056,Taxi Driver,32,1000000,850,Term Life,2024-03-04,Medium,Yes
PP-2057,Plumber,48,5000000,2458,Universal Life,2024-07-17,Low,Yes
PP-2058,Firefighter,80,10000000,12500,Term Life,2021-12-14,Medium,Yes
PP-2059,Veterinarian,66,50000,113,Whole Life,2018-02-25,High,No
PP-2060,Graphic Designer,51,750000,1512,Term Life,2018-02-01,High,Yes
PP-2061,Attorney,22,500000,191,Whole Life,2023-03-26,Low,Yes
PP-2062,Nurse,40,10000000,18333,Whole Life,2020-07-21,High,Yes
PP-2063,Writer,39,1000000,1816,Universal Life,2019-04-05,High,Yes
PP-2064,Writer,34,25000,10,Universal Life,2020-06-12,Low,No
PP-2065,Student,34,750000,1300,Universal Life,2021-06-06,High,Yes
PP-2066,Musician,67,2000000,2283,Whole Life,2022-09-15,Medium,Yes
PP-2067,Plumber,79,1000000,620,Whole Life,2023-10-16,Low,Yes
PP-2068,Dentist,72,25000,29,Whole Life,2020-04-25,Medium,No
PP-2069,Photographer,35,15000000,13125,Universal Life,2024-06-27,Medium,Yes
PP-2070,Retired,67,100000,114,Universal Life,2020-07-23,Medium,No
PP-2071,Software Engineer,20,1000000,1500,Universal Life,2021-12-17,High,Yes
PP-2072,Dentist,37,750000,668,Term Life,2020-03-18,Medium,Yes
PP-2073,Electrician,28,1000000,1633,Universal Life,2021-02-08,High,Yes
